Entity,Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,760,,,,60,"6,52,230",33.93911,67.709953
Afghanistan,730,,,,60,"6,52,230",33.93911,67.709953
Afghanistan,1029.999971,,,179.4265792,60,"6,52,230",33.93911,67.709953
Afghanistan,1220.000029,,8.832277813,190.6838143,60,"6,52,230",33.93911,67.709953
Afghanistan,1029.999971,,1.414117981,211.3820742,60,"6,52,230",33.93911,67.709953
Afghanistan,1549.999952,,11.22971482,242.0313132,60,"6,52,230",33.93911,67.709953
Afghanistan,1759.99999,,5.357403251,263.7336019,60,"6,52,230",33.93911,67.709953
Afghanistan,1769.999981,,13.82631955,359.6931579,60,"6,52,230",33.93911,67.709953
Afghanistan,3559.999943,,3.924983822,364.663542,60,"6,52,230",33.93911,67.709953
Afghanistan,4880.000114,,21.39052839,437.2687402,60,"6,52,230",33.93911,67.709953
Afghanistan,7110.000134,,14.36244147,543.3065262,60,"6,52,230",33.93911,67.709953
Afghanistan,8930.000305,,0.426354785,591.1900302,60,"6,52,230",33.93911,67.709953
Afghanistan,8079.999924,,12.75228709,638.8458516,60,"6,52,230",33.93911,67.709953
Afghanistan,5989.999771,,5.600744658,624.3154545,60,"6,52,230",33.93911,67.709953
Afghanistan,4880.000114,,2.724543364,614.2233424,60,"6,52,230",33.93911,67.709953
Afghanistan,5949.999809,,1.45131466,556.0072209,60,"6,52,230",33.93911,67.709953
Afghanistan,5300.000191,,2.260314201,512.0127781,60,"6,52,230",33.93911,67.709953
Afghanistan,4780.00021,,2.647003202,516.6798622,60,"6,52,230",33.93911,67.709953
Afghanistan,6070.000172,,1.189228128,485.6684187,60,"6,52,230",33.93911,67.709953
Afghanistan,6079.999924,,3.911603419,494.1793499,60,"6,52,230",33.93911,67.709953
Afghanistan,,,-2.351100673,516.7478708,60,"6,52,230",33.93911,67.709953
Albania,3170,,6.946216585,1126.68334,105,"28,748",41.153332,20.168331
Albania,3230,,8.293312636,1281.659826,105,"28,748",41.153332,20.168331
Albania,3759.99999,,4.536524157,1425.124219,105,"28,748",41.153332,20.168331
Albania,4070.000172,,5.528637464,1846.120121,105,"28,748",41.153332,20.168331
Albania,4250,,5.51466791,2373.581292,105,"28,748",41.153332,20.168331
Albania,4030.00021,,5.526424241,2673.786584,105,"28,748",41.153332,20.168331
Albania,4010.000229,,5.902659038,2972.742924,105,"28,748",41.153332,20.168331
Albania,4139.999866,,5.983259523,3595.038057,105,"28,748",41.153332,20.168331
Albania,4079.999924,,7.500041428,4370.539925,105,"28,748",41.153332,20.168331
Albania,4219.99979,,3.354289352,4114.134899,105,"28,748",41.153332,20.168331
Albania,4449.999809,,3.70693815,4094.348386,105,"28,748",41.153332,20.168331
Albania,4849.999905,,2.545406145,4437.142612,105,"28,748",41.153332,20.168331
Albania,4360.000134,,1.4172428,4247.630047,105,"28,748",41.153332,20.168331
Albania,4440.000057,,1.00201754,4413.062005,105,"28,748",41.153332,20.168331
Albania,4820.000172,,1.774448855,4578.633208,105,"28,748",41.153332,20.168331
Albania,4619.999886,,2.218726372,3952.802538,105,"28,748",41.153332,20.168331
Albania,4480.000019,,3.314980684,4124.05539,105,"28,748",41.153332,20.168331
Albania,5139.999866,,3.8022274,4531.019374,105,"28,748",41.153332,20.168331
Albania,5110.000134,,4.019359686,5287.663694,105,"28,748",41.153332,20.168331
Albania,4829.999924,,2.113419982,5395.659532,105,"28,748",41.153332,20.168331
Albania,,,-3.955397927,5246.292306,105,"28,748",41.153332,20.168331
Algeria,80050,0.053235482,3.8,1765.027146,18,"23,81,741",28.033886,1.659626
Algeria,78650,0.065218486,3,1740.606654,18,"23,81,741",28.033886,1.659626
Algeria,82400.00153,0.05167677,5.6,1781.828908,18,"23,81,741",28.033886,1.659626
Algeria,88190.00244,0.228104,7.2,2103.381291,18,"23,81,741",28.033886,1.659626
Algeria,89489.99786,0.2067869,4.3,2610.185422,18,"23,81,741",28.033886,1.659626
Algeria,94190.00244,0.43411878,5.9,3113.094883,18,"23,81,741",28.033886,1.659626
Algeria,99809.99756,0.16327195,1.7,3478.710002,18,"23,81,741",28.033886,1.659626
Algeria,102750,0.15990457,3.4,3950.512993,18,"23,81,741",28.033886,1.659626
Algeria,107750,0.1877543,2.4,4923.631615,18,"23,81,741",28.033886,1.659626
Algeria,112169.9982,0.21278548,1.6,3883.2709,18,"23,81,741",28.033886,1.659626
Algeria,114180.0003,0.11513238,3.6,4480.786318,18,"23,81,741",28.033886,1.659626
Algeria,120790.0009,0.2352599,2.9,5455.679403,18,"23,81,741",28.033886,1.659626
Algeria,134929.9927,0.22453195,3.4,5592.220115,18,"23,81,741",28.033886,1.659626
Algeria,139020.0043,0.064763196,2.8,5499.587331,18,"23,81,741",28.033886,1.659626
Algeria,147740.0055,0.117502466,3.8,5493.056695,18,"23,81,741",28.033886,1.659626
Algeria,156270.0043,0.096813366,3.7,4177.889542,18,"23,81,741",28.033886,1.659626
Algeria,154910.0037,0.14580712,3.2,3946.452447,18,"23,81,741",28.033886,1.659626
Algeria,158339.9963,0.24701829,1.3,4109.698217,18,"23,81,741",28.033886,1.659626
Algeria,165539.9933,0.28767928,1.1,4142.018558,18,"23,81,741",28.033886,1.659626
Algeria,171250,0.29474697,1,3989.668276,18,"23,81,741",28.033886,1.659626
Algeria,,0.29789943,-5.1,3306.858208,18,"23,81,741",28.033886,1.659626
Angola,16200,,3.054624234,556.8386317,26,"12,46,700",-11.202692,17.873887
Angola,15960,,4.205998556,527.3335285,26,"12,46,700",-11.202692,17.873887
Angola,15689.99958,,13.66568652,872.4944418,26,"12,46,700",-11.202692,17.873887
Angola,16760.00023,,2.98985001,982.9610078,26,"12,46,700",-11.202692,17.873887
Angola,17450.00076,,10.95286177,1255.564513,26,"12,46,700",-11.202692,17.873887
Angola,15810.00042,,15.02891532,1902.42215,26,"12,46,700",-11.202692,17.873887
Angola,16559.99947,,11.54768318,2599.565948,26,"12,46,700",-11.202692,17.873887
Angola,16969.99931,,14.01001824,3121.996085,26,"12,46,700",-11.202692,17.873887
Angola,19280.00069,,11.16613833,4080.941034,26,"12,46,700",-11.202692,17.873887
Angola,21149.99962,,0.858712615,3122.781599,26,"12,46,700",-11.202692,17.873887
Angola,22799.99924,,4.403932543,3587.883645,26,"12,46,700",-11.202692,17.873887
Angola,23870.00084,,3.471976345,4615.468219,26,"12,46,700",-11.202692,17.873887
Angola,23870.00084,,8.542187643,5100.097027,26,"12,46,700",-11.202692,17.873887
Angola,26959.99908,,4.954544646,5254.881126,26,"12,46,700",-11.202692,17.873887
Angola,29629.99916,,4.822627568,5408.4117,26,"12,46,700",-11.202692,17.873887
Angola,31649.99962,,0.943571561,4166.979833,26,"12,46,700",-11.202692,17.873887
Angola,29760.00023,,-2.580049644,3506.073128,26,"12,46,700",-11.202692,17.873887
Angola,24250,,-0.147212941,4095.810057,26,"12,46,700",-11.202692,17.873887
Angola,23959.99908,,-2.003629727,3289.643995,26,"12,46,700",-11.202692,17.873887
Angola,25209.99908,,-0.624644318,2809.626088,26,"12,46,700",-11.202692,17.873887
Angola,,,-5.39998739,1776.166868,26,"12,46,700",-11.202692,17.873887
Antigua and Barbuda,330,,6.203431254,10872.29295,223,443,17.060816,-61.796428
Antigua and Barbuda,350,,-4.548003473,10367.31961,223,443,17.060816,-61.796428
Antigua and Barbuda,389.9999857,,1.02744197,10401.05088,223,443,17.060816,-61.796428
Antigua and Barbuda,409.9999964,,6.076543688,10797.95106,223,443,17.060816,-61.796428
Antigua and Barbuda,400.000006,,5.767028612,11446.96914,223,443,17.060816,-61.796428
Antigua and Barbuda,409.9999964,,6.473831316,12557.54785,223,443,17.060816,-61.796428
Antigua and Barbuda,439.9999976,,12.70814853,13995.80442,223,443,17.060816,-61.796428
Antigua and Barbuda,460.0000083,,9.315383163,15622.69287,223,443,17.060816,-61.796428
Antigua and Barbuda,479.9999893,,-0.014340652,16044.1058,223,443,17.060816,-61.796428
Antigua and Barbuda,1389.999986,,-11.96269725,14160.562,223,443,17.060816,-61.796428
Antigua and Barbuda,490.0000095,,-7.840594744,13048.96058,223,443,17.060816,-61.796428
Antigua and Barbuda,540.0000215,,-1.958612628,12746.63347,223,443,17.060816,-61.796428
Antigua and Barbuda,699.9999881,,3.3728662,13272.73494,223,443,17.060816,-61.796428
Antigua and Barbuda,469.9999988,,-0.600876397,12910.59063,223,443,17.060816,-61.796428
Antigua and Barbuda,479.9999893,,3.795727613,13501.58092,223,443,17.060816,-61.796428
Antigua and Barbuda,490.0000095,,3.825293099,14285.32978,223,443,17.060816,-61.796428
Antigua and Barbuda,500,,5.496459204,15198.74297,223,443,17.060816,-61.796428
Antigua and Barbuda,500,,3.14432324,15383.5764,223,443,17.060816,-61.796428
Antigua and Barbuda,509.9999905,,6.883640817,16679.59166,223,443,17.060816,-61.796428
Antigua and Barbuda,519.9999809,,4.862236166,17376.64968,223,443,17.060816,-61.796428
Antigua and Barbuda,,,-20.19237057,13992.74448,223,443,17.060816,-61.796428
Argentina,132270,12.283858,-0.788998939,7708.099115,17,"27,80,400",-38.416097,-63.616672
Argentina,125260,15.937488,-4.408839683,7208.373114,17,"27,80,400",-38.416097,-63.616672
Argentina,117470.0012,16.249306,-10.89448483,2593.404563,17,"27,80,400",-38.416097,-63.616672
